run_id,condition,mode,injection_epoch,t_inicio_iso,spec_recovery_s,pods_ready_s,t_fin_iso,spec_ok,pods_ok
1,A1,normal,1779411130,2026-05-22T00:52:10Z,1,0,2026-05-22T00:52:11Z,true,true
2,A1,normal,1779411142,2026-05-22T00:52:22Z,1,0,2026-05-22T00:52:23Z,true,true
3,A1,normal,1779411153,2026-05-22T00:52:33Z,2,0,2026-05-22T00:52:35Z,true,true
4,A1,normal,1779411166,2026-05-22T00:52:46Z,2,0,2026-05-22T00:52:48Z,true,true
5,A1,normal,1779411179,2026-05-22T00:52:59Z,1,0,2026-05-22T00:53:00Z,true,true
6,A1,normal,1779411191,2026-05-22T00:53:11Z,1,0,2026-05-22T00:53:12Z,true,true
7,A1,normal,1779411202,2026-05-22T00:53:22Z,1,0,2026-05-22T00:53:23Z,true,true
8,A1,normal,1779411214,2026-05-22T00:53:34Z,1,0,2026-05-22T00:53:35Z,true,true
9,A1,normal,1779411226,2026-05-22T00:53:46Z,1,0,2026-05-22T00:53:47Z,true,true
10,A1,normal,1779411238,2026-05-22T00:53:58Z,2,0,2026-05-22T00:54:00Z,true,true
11,A1,normal,1779411251,2026-05-22T00:54:11Z,1,0,2026-05-22T00:54:12Z,true,true
12,A1,normal,1779411262,2026-05-22T00:54:22Z,1,0,2026-05-22T00:54:23Z,true,true
13,A1,normal,1779411274,2026-05-22T00:54:34Z,1,0,2026-05-22T00:54:35Z,true,true
14,A1,normal,1779411286,2026-05-22T00:54:46Z,1,0,2026-05-22T00:54:47Z,true,true
15,A1,normal,1779411298,2026-05-22T00:54:58Z,1,0,2026-05-22T00:54:59Z,true,true
16,A1,normal,1779411310,2026-05-22T00:55:10Z,2,0,2026-05-22T00:55:12Z,true,true
17,A1,normal,1779411322,2026-05-22T00:55:22Z,1,0,2026-05-22T00:55:23Z,true,true
18,A1,normal,1779411334,2026-05-22T00:55:34Z,2,0,2026-05-22T00:55:36Z,true,true
19,A1,normal,1779411347,2026-05-22T00:55:47Z,2,0,2026-05-22T00:55:49Z,true,true
20,A1,normal,1779411360,2026-05-22T00:56:00Z,1,0,2026-05-22T00:56:01Z,true,true
21,A1,normal,1779411372,2026-05-22T00:56:12Z,1,0,2026-05-22T00:56:13Z,true,true
22,A1,normal,1779411383,2026-05-22T00:56:23Z,1,0,2026-05-22T00:56:24Z,true,true
23,A1,normal,1779411395,2026-05-22T00:56:35Z,1,0,2026-05-22T00:56:36Z,true,true
24,A1,normal,1779411407,2026-05-22T00:56:47Z,2,0,2026-05-22T00:56:49Z,true,true
25,A1,normal,1779411420,2026-05-22T00:57:00Z,1,0,2026-05-22T00:57:01Z,true,true
26,A1,normal,1779411432,2026-05-22T00:57:12Z,1,0,2026-05-22T00:57:13Z,true,true
27,A1,normal,1779411443,2026-05-22T00:57:23Z,1,0,2026-05-22T00:57:24Z,true,true
28,A1,normal,1779411455,2026-05-22T00:57:35Z,1,0,2026-05-22T00:57:36Z,true,true
29,A1,normal,1779411467,2026-05-22T00:57:47Z,2,0,2026-05-22T00:57:49Z,true,true
30,A1,normal,1779411480,2026-05-22T00:58:00Z,1,0,2026-05-22T00:58:01Z,true,true
31,A1,stress,1779411516,2026-05-22T00:58:36Z,3,0,2026-05-22T00:58:39Z,true,true
32,A1,stress,1779411530,2026-05-22T00:58:50Z,3,0,2026-05-22T00:58:53Z,true,true
33,A1,stress,1779411544,2026-05-22T00:59:04Z,2,0,2026-05-22T00:59:06Z,true,true
34,A1,stress,1779411558,2026-05-22T00:59:18Z,3,0,2026-05-22T00:59:21Z,true,true
35,A1,stress,1779411572,2026-05-22T00:59:32Z,3,0,2026-05-22T00:59:35Z,true,true
36,A1,stress,1779411586,2026-05-22T00:59:46Z,3,0,2026-05-22T00:59:49Z,true,true
37,A1,stress,1779411600,2026-05-22T01:00:00Z,3,0,2026-05-22T01:00:03Z,true,true
38,A1,stress,1779411615,2026-05-22T01:00:15Z,3,0,2026-05-22T01:00:18Z,true,true
39,A1,stress,1779411629,2026-05-22T01:00:29Z,3,0,2026-05-22T01:00:32Z,true,true
40,A1,stress,1779411643,2026-05-22T01:00:43Z,3,0,2026-05-22T01:00:46Z,true,true
1,A2,normal,1779411681,2026-05-22T01:01:21Z,1,0,2026-05-22T01:01:22Z,true,true
2,A2,normal,1779411693,2026-05-22T01:01:33Z,1,0,2026-05-22T01:01:34Z,true,true
3,A2,normal,1779411705,2026-05-22T01:01:45Z,2,0,2026-05-22T01:01:47Z,true,true
4,A2,normal,1779411718,2026-05-22T01:01:58Z,1,0,2026-05-22T01:01:59Z,true,true
5,A2,normal,1779411730,2026-05-22T01:02:10Z,2,0,2026-05-22T01:02:12Z,true,true
6,A2,normal,1779411743,2026-05-22T01:02:23Z,2,0,2026-05-22T01:02:25Z,true,true
7,A2,normal,1779411756,2026-05-22T01:02:36Z,1,0,2026-05-22T01:02:37Z,true,true
8,A2,normal,1779411768,2026-05-22T01:02:48Z,2,0,2026-05-22T01:02:50Z,true,true
9,A2,normal,1779411781,2026-05-22T01:03:01Z,1,0,2026-05-22T01:03:02Z,true,true
10,A2,normal,1779411792,2026-05-22T01:03:12Z,2,0,2026-05-22T01:03:14Z,true,true
11,A2,normal,1779411805,2026-05-22T01:03:25Z,2,0,2026-05-22T01:03:27Z,true,true
12,A2,normal,1779411818,2026-05-22T01:03:38Z,2,0,2026-05-22T01:03:40Z,true,true
13,A2,normal,1779411831,2026-05-22T01:03:51Z,2,0,2026-05-22T01:03:53Z,true,true
14,A2,normal,1779411844,2026-05-22T01:04:04Z,2,0,2026-05-22T01:04:06Z,true,true
15,A2,normal,1779411857,2026-05-22T01:04:17Z,1,0,2026-05-22T01:04:18Z,true,true
16,A2,normal,1779411869,2026-05-22T01:04:29Z,2,0,2026-05-22T01:04:31Z,true,true
17,A2,normal,1779411882,2026-05-22T01:04:42Z,1,0,2026-05-22T01:04:43Z,true,true
18,A2,normal,1779411894,2026-05-22T01:04:54Z,1,0,2026-05-22T01:04:55Z,true,true
