run_id,group,mode,deletion_epoch,t_inicio_iso,spec_recreated_s,rto_s,t_fin_iso,spec_ok,rto_ok
1,argocd,normal,1779414508,2026-05-22T01:48:28Z,0,9,2026-05-22T01:48:37Z,true,true
2,argocd,normal,1779414535,2026-05-22T01:48:55Z,0,9,2026-05-22T01:49:04Z,true,true
3,argocd,normal,1779414561,2026-05-22T01:49:21Z,0,9,2026-05-22T01:49:30Z,true,true
4,argocd,normal,1779414588,2026-05-22T01:49:48Z,0,9,2026-05-22T01:49:57Z,true,true
5,argocd,normal,1779414615,2026-05-22T01:50:15Z,0,9,2026-05-22T01:50:24Z,true,true
6,argocd,normal,1779414642,2026-05-22T01:50:42Z,0,9,2026-05-22T01:50:51Z,true,true
7,argocd,normal,1779414668,2026-05-22T01:51:08Z,0,9,2026-05-22T01:51:17Z,true,true
8,argocd,normal,1779414695,2026-05-22T01:51:35Z,0,9,2026-05-22T01:51:44Z,true,true
9,argocd,normal,1779414722,2026-05-22T01:52:02Z,0,9,2026-05-22T01:52:11Z,true,true
10,argocd,normal,1779414749,2026-05-22T01:52:29Z,0,9,2026-05-22T01:52:38Z,true,true
11,argocd,normal,1779414775,2026-05-22T01:52:55Z,0,9,2026-05-22T01:53:04Z,true,true
12,argocd,normal,1779414802,2026-05-22T01:53:22Z,0,9,2026-05-22T01:53:31Z,true,true
13,argocd,normal,1779414829,2026-05-22T01:53:49Z,0,9,2026-05-22T01:53:58Z,true,true
14,argocd,normal,1779414856,2026-05-22T01:54:16Z,0,9,2026-05-22T01:54:25Z,true,true
15,argocd,normal,1779414882,2026-05-22T01:54:42Z,0,9,2026-05-22T01:54:51Z,true,true
16,argocd,normal,1779414909,2026-05-22T01:55:09Z,0,9,2026-05-22T01:55:18Z,true,true
17,argocd,normal,1779414936,2026-05-22T01:55:36Z,0,9,2026-05-22T01:55:45Z,true,true
18,argocd,normal,1779414962,2026-05-22T01:56:02Z,0,9,2026-05-22T01:56:11Z,true,true
19,argocd,normal,1779414989,2026-05-22T01:56:29Z,0,9,2026-05-22T01:56:38Z,true,true
20,argocd,normal,1779415016,2026-05-22T01:56:56Z,0,9,2026-05-22T01:57:05Z,true,true
21,argocd,normal,1779415043,2026-05-22T01:57:23Z,0,9,2026-05-22T01:57:32Z,true,true
22,argocd,normal,1779415070,2026-05-22T01:57:50Z,0,9,2026-05-22T01:57:59Z,true,true
23,argocd,normal,1779415096,2026-05-22T01:58:16Z,0,9,2026-05-22T01:58:25Z,true,true
24,argocd,normal,1779415123,2026-05-22T01:58:43Z,0,9,2026-05-22T01:58:52Z,true,true
25,argocd,normal,1779415150,2026-05-22T01:59:10Z,0,9,2026-05-22T01:59:19Z,true,true
26,argocd,normal,1779415177,2026-05-22T01:59:37Z,0,9,2026-05-22T01:59:46Z,true,true
27,argocd,normal,1779415204,2026-05-22T02:00:04Z,0,9,2026-05-22T02:00:13Z,true,true
28,argocd,normal,1779415231,2026-05-22T02:00:31Z,0,9,2026-05-22T02:00:40Z,true,true
29,argocd,normal,1779415258,2026-05-22T02:00:58Z,0,9,2026-05-22T02:01:07Z,true,true
30,argocd,normal,1779415284,2026-05-22T02:01:24Z,0,9,2026-05-22T02:01:33Z,true,true
31,argocd,stress,1779415329,2026-05-22T02:02:09Z,3,TIMEOUT,,true,false
32,argocd,stress,1779415580,2026-05-22T02:06:20Z,6,TIMEOUT,,true,false
33,argocd,stress,1779415835,2026-05-22T02:10:35Z,5,TIMEOUT,,true,false
34,argocd,stress,1779416088,2026-05-22T02:14:48Z,4,TIMEOUT,,true,false
35,argocd,stress,1779416341,2026-05-22T02:19:01Z,6,TIMEOUT,,true,false
36,argocd,stress,1779416596,2026-05-22T02:23:16Z,4,TIMEOUT,,true,false
37,argocd,stress,1779416849,2026-05-22T02:27:29Z,5,TIMEOUT,,true,false
38,argocd,stress,1779417102,2026-05-22T02:31:42Z,7,TIMEOUT,,true,false
39,argocd,stress,1779417358,2026-05-22T02:35:58Z,7,TIMEOUT,,true,false
40,argocd,stress,1779417613,2026-05-22T02:40:13Z,5,TIMEOUT,,true,false
