run_id,group,deletion_epoch,t_inicio_iso,observation_window_s,t_fin_iso,deployment_recreated,recovery_type,notes
1,control,1779417802,2026-05-22T02:43:22Z,120,2026-05-22T02:45:22Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
2,control,1779417953,2026-05-22T02:45:53Z,120,2026-05-22T02:47:53Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
3,control,1779418105,2026-05-22T02:48:25Z,120,2026-05-22T02:50:25Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
4,control,1779418251,2026-05-22T02:50:51Z,120,2026-05-22T02:52:51Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
5,control,1779418402,2026-05-22T02:53:22Z,120,2026-05-22T02:55:22Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
6,control,1779418554,2026-05-22T02:55:54Z,120,2026-05-22T02:57:54Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
7,control,1779418705,2026-05-22T02:58:25Z,120,2026-05-22T03:00:25Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
8,control,1779418851,2026-05-22T03:00:51Z,120,2026-05-22T03:02:51Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
9,control,1779419004,2026-05-22T03:03:24Z,120,2026-05-22T03:05:24Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
10,control,1779419150,2026-05-22T03:05:50Z,120,2026-05-22T03:07:50Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
11,control,1779419302,2026-05-22T03:08:22Z,120,2026-05-22T03:10:22Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
12,control,1779419448,2026-05-22T03:10:48Z,120,2026-05-22T03:12:48Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
13,control,1779419599,2026-05-22T03:13:19Z,120,2026-05-22T03:15:19Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
14,control,1779419751,2026-05-22T03:15:51Z,120,2026-05-22T03:17:51Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
15,control,1779419902,2026-05-22T03:18:22Z,120,2026-05-22T03:20:22Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
16,control,1779420054,2026-05-22T03:20:54Z,120,2026-05-22T03:22:54Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
17,control,1779420205,2026-05-22T03:23:25Z,120,2026-05-22T03:25:25Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
18,control,1779420351,2026-05-22T03:25:51Z,120,2026-05-22T03:27:51Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
19,control,1779420502,2026-05-22T03:28:22Z,120,2026-05-22T03:30:22Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
20,control,1779420655,2026-05-22T03:30:55Z,120,2026-05-22T03:32:55Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
21,control,1779420808,2026-05-22T03:33:28Z,120,2026-05-22T03:35:28Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
22,control,1779420959,2026-05-22T03:35:59Z,120,2026-05-22T03:37:59Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
23,control,1779421112,2026-05-22T03:38:32Z,120,2026-05-22T03:40:32Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
24,control,1779421258,2026-05-22T03:40:58Z,120,2026-05-22T03:42:58Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
25,control,1779421410,2026-05-22T03:43:30Z,120,2026-05-22T03:45:30Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
26,control,1779421556,2026-05-22T03:45:56Z,120,2026-05-22T03:47:56Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
27,control,1779421708,2026-05-22T03:48:28Z,120,2026-05-22T03:50:28Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
28,control,1779421854,2026-05-22T03:50:54Z,120,2026-05-22T03:52:54Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
29,control,1779422005,2026-05-22T03:53:25Z,120,2026-05-22T03:55:25Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
30,control,1779422157,2026-05-22T03:55:57Z,120,2026-05-22T03:57:57Z,false,none (manual_required),"Deployment absent for >120s — GitOps not active"
